duplicate_group,sha256,instance_count,canonical_export_path_count,duplicate_class,canonical_export_paths,local_uploaded_filenames
SHA-040767a76d3e,040767a76d3e651c043bd01e5b34455e519a4cde38b497451ebd6e1a5fc070ef,2,1,upload repetition,file_000000003ff071f58233aeedba4c2f83.dat,file_000000003ff071f58233aeedba4c2f83(1).dat | file_000000003ff071f58233aeedba4c2f83(2).dat
SHA-06658a1aad32,06658a1aad32b728057c56ffb7d398c20951d87b8212e14e6b4942f3b677b72f,2,1,upload repetition,file_000000004cd0722fb17feb6de0df5b28.dat,file_000000004cd0722fb17feb6de0df5b28(1).dat | file_000000004cd0722fb17feb6de0df5b28.dat
SHA-0a00b446b1a9,0a00b446b1a9840d1862c652964df592d8e4e4f7de522031e777ade273a362f4,2,1,upload repetition,file_000000005a8871fd8362c7c2c93d8f07.dat,file_000000005a8871fd8362c7c2c93d8f07(1).dat | file_000000005a8871fd8362c7c2c93d8f07.dat
SHA-14211cf9872c,14211cf9872cc6c6302772c91355460033716bb47ace8d8ff5473d18fb28fff7,2,1,upload repetition,file-8nhNqbmQTZFBSQFveQq8DH.dat,file-8nhNqbmQTZFBSQFveQq8DH(1).dat | file-8nhNqbmQTZFBSQFveQq8DH.dat
SHA-18de1b43a926,18de1b43a9260ab4491fec4f117b6e8a5eb7509d5bfd915d634d34f433cb2105,2,1,upload repetition,file_000000004ba071fda583aad757c1d55b.dat,file_000000004ba071fda583aad757c1d55b(1).dat | file_000000004ba071fda583aad757c1d55b.dat
SHA-1e93433365ff,1e93433365ff737a96ae6ad3f0e5ec84f6732f0db324cc35b74460f1246b00a0,2,2,same content referenced by multiple export paths,file_0000000007b471f585654564f81631a8.dat | file_00000000531871f5b2bc5eb20364d71f.dat,file_0000000007b471f585654564f81631a8.dat | file_00000000531871f5b2bc5eb20364d71f.dat
SHA-2501453eb8c2,2501453eb8c20f00225929245e18cf9a0ad52a10aa9998d3865eecd8ecc4d2a6,2,1,upload repetition,file-6JDM4QgVRwQwzhT6Yrpdfe.dat,file-6JDM4QgVRwQwzhT6Yrpdfe(1).dat | file-6JDM4QgVRwQwzhT6Yrpdfe.dat
SHA-2878d1d748fe,2878d1d748feb728540091f4096bf28a6ab20518e032c73322902c14a99f530f,2,2,same content referenced by multiple export paths,file-HZsmokUBoti0L5M2t2meYk6w.dat | file-gO0O9R1hu6pn8CwEJ2U4U3LP.dat,file-HZsmokUBoti0L5M2t2meYk6w.dat | file-gO0O9R1hu6pn8CwEJ2U4U3LP.dat
SHA-2a64b344d697,2a64b344d697c39a0b46205f19a7c58e36d2839139c7b775e7ea83f5953c7fa8,2,2,same content referenced by multiple export paths,file_000000000270722fa49ea07a43a0877a.dat | file_00000000bc64722f8b1f72d26201ed81.dat,file_000000000270722fa49ea07a43a0877a.dat | file_00000000bc64722f8b1f72d26201ed81.dat
SHA-2d53408ef4d6,2d53408ef4d6ee0aabc10675aaf82aa8ca2f604c10af98a6945c345932621a29,2,1,upload repetition,file-9zPkKXBbubyBtePtfmh822.dat,file-9zPkKXBbubyBtePtfmh822(1).dat | file-9zPkKXBbubyBtePtfmh822.dat
