export_path,category,expected_size_bytes,status,local_instance_count,local_filenames,all_sizes_match_manifest,restricted
file-6DDZ4UkkkasFkbbNXvLkKy.dat,asset,292336,present,2,file-6DDZ4UkkkasFkbbNXvLkKy(1).dat | file-6DDZ4UkkkasFkbbNXvLkKy.dat,yes,no
file-6GQUXeFXxSHYoPECPb4pYn.dat,asset,186385,present,2,file-6GQUXeFXxSHYoPECPb4pYn(1).dat | file-6GQUXeFXxSHYoPECPb4pYn.dat,yes,no
file-6Gnf7ihg2RddBwxxTAr8MP.dat,asset,300645,present,2,file-6Gnf7ihg2RddBwxxTAr8MP(1).dat | file-6Gnf7ihg2RddBwxxTAr8MP.dat,yes,no
file-6Hhdehr8FyqQo337SABTSb.dat,asset,3920089,present,2,file-6Hhdehr8FyqQo337SABTSb(1).dat | file-6Hhdehr8FyqQo337SABTSb.dat,yes,no
file-6JDM4QgVRwQwzhT6Yrpdfe.dat,asset,306363,present,2,file-6JDM4QgVRwQwzhT6Yrpdfe(1).dat | file-6JDM4QgVRwQwzhT6Yrpdfe.dat,yes,no
file-6zmSwwQ1Ns25123m6CWrxb.dat,asset,130380,present,2,file-6zmSwwQ1Ns25123m6CWrxb(1).dat | file-6zmSwwQ1Ns25123m6CWrxb.dat,yes,no
file-73lzaef7bITIIrPf96HFc67v.dat,asset,453498,present,1,file-73lzaef7bITIIrPf96HFc67v.dat,yes,no
file-76SWUjcLUMqetBonoePqS3.dat,asset,19921,present,1,file-76SWUjcLUMqetBonoePqS3.dat,yes,no
file-7ZbiCuNwN9eYmz2SdAqUsj.dat,asset,3829197,present,2,file-7ZbiCuNwN9eYmz2SdAqUsj(1).dat | file-7ZbiCuNwN9eYmz2SdAqUsj.dat,yes,no
file-7cqobrtrvehLw6AVDTwZwu.dat,asset,333000,present,2,file-7cqobrtrvehLw6AVDTwZwu(1).dat | file-7cqobrtrvehLw6AVDTwZwu.dat,yes,no
file-7pztPzZTMJ1KSTaHdpDaTg.dat,asset,33478,present,2,file-7pztPzZTMJ1KSTaHdpDaTg(1).dat | file-7pztPzZTMJ1KSTaHdpDaTg.dat,yes,no
file-84a1maDJkEvxVgvPtZy9EP.dat,asset,102025,present,1,file-84a1maDJkEvxVgvPtZy9EP.dat,yes,no
file-89aDLYrFe7u9UkZLP5Cd9V.dat,asset,337321,present,1,file-89aDLYrFe7u9UkZLP5Cd9V.dat,yes,no
file-8DkGFqZ5BejtVTQb2HE8Dq.dat,asset,3582570,present,2,file-8DkGFqZ5BejtVTQb2HE8Dq(1).dat | file-8DkGFqZ5BejtVTQb2HE8Dq.dat,yes,no
file-8XIR24v4vAiyVEgcs8vNYpHM.dat,asset,360616,present,2,file-8XIR24v4vAiyVEgcs8vNYpHM(1).dat | file-8XIR24v4vAiyVEgcs8vNYpHM.dat,yes,no
file-8ZepZbXArZrNffNEpBU6uW.dat,asset,243387,present,2,file-8ZepZbXArZrNffNEpBU6uW(1).dat | file-8ZepZbXArZrNffNEpBU6uW.dat,yes,no
file-8nhNqbmQTZFBSQFveQq8DH.dat,asset,425941,present,2,file-8nhNqbmQTZFBSQFveQq8DH(1).dat | file-8nhNqbmQTZFBSQFveQq8DH.dat,yes,no
